   Pwr.(w),TFR (mg/min),O2-Lo (cc/m),Temp(C),Pres.(torr),Space(mils),Total He Carrier (sccm),k value
910.0,3800.0,363.0,300.0,8.7,380.0,1025.0,2.914620126309313
990.0,3700.0,123.0,380.0,4.7,380.0,600.0,3.7772365043878917
1010.0,4900.0,328.0,300.0,8.7,380.0,900.0,3.192468547161085
720.0,3800.0,33.0,340.0,9.2,380.0,1350.0,3.3358997641540564
450.0,1600.0,168.0,280.0,9.2,380.0,950.0,2.7439558135131144
580.0,2300.0,28.0,340.0,8.7,380.0,1450.0,3.412957160272202
820.0,5400.0,58.0,380.0,8.2,380.0,1200.0,3.1830076357330785
1020.0,4700.0,258.0,380.0,4.7,380.0,700.0,3.66113645584034
730.0,2800.0,208.0,380.0,7.7,380.0,800.0,3.034310156967663
760.0,900.0,233.0,320.0,9.7,380.0,975.0,3.803518261365914
560.0,5300.0,43.0,380.0,4.7,380.0,475.0,2.938898285249496
910.0,5100.0,223.0,320.0,9.7,380.0,1075.0,3.3706842032660442
320.0,2400.0,13.0,380.0,9.7,380.0,625.0,3.321417300231488
450.0,1400.0,168.0,380.0,10.2,380.0,625.0,3.6731651707899458
620.0,1100.0,48.0,280.0,8.2,380.0,1325.0,3.0832097381570183
660.0,3100.0,173.0,380.0,7.7,380.0,1175.0,3.10993496424996
560.0,4600.0,223.0,380.0,4.7,380.0,825.0,3.2442958906430746
870.0,5000.0,133.0,360.0,9.2,380.0,1250.0,3.2809136083150867
880.0,4500.0,198.0,380.0,5.2,380.0,1200.0,3.979644772655168
350.0,4300.0,108.0,380.0,6.7,380.0,825.0,3.3101092713506235
590.0,3400.0,43.0,360.0,9.7,380.0,1225.0,3.338754082784999
850.0,1300.0,228.0,320.0,10.2,380.0,775.0,3.1495281389923706
480.0,800.0,38.0,380.0,5.7,380.0,1125.0,3.507072278331188
660.0,5300.0,128.0,360.0,9.2,380.0,1425.0,3.0175503211919317
920.0,1300.0,113.0,280.0,10.2,380.0,975.0,2.875598606871366
320.0,1600.0,53.0,380.0,5.2,380.0,600.0,3.4048047348086152
680.0,1500.0,253.0,320.0,9.7,380.0,500.0,3.5870428475120595
320.0,5100.0,23.0,380.0,9.7,380.0,1225.0,3.4366519985415893
1040.0,3900.0,418.0,380.0,5.7,380.0,625.0,3.593813546361381
500.0,2400.0,213.0,360.0,8.2,380.0,1400.0,3.35028091058059
790.0,3300.0,148.0,380.0,4.7,380.0,825.0,3.904340983622883
660.0,4500.0,68.0,380.0,5.2,380.0,900.0,3.0191575908700585
460.0,3700.0,143.0,380.0,6.7,380.0,475.0,3.6157747233319295
950.0,5300.0,48.0,320.0,9.2,380.0,1450.0,3.162453559086285
540.0,3800.0,18.0,340.0,9.7,380.0,1400.0,3.4882586442329266
470.0,1500.0,138.0,320.0,10.2,380.0,1050.0,2.7642220557190127
1030.0,1000.0,178.0,380.0,4.7,380.0,1250.0,3.870548909249334
1040.0,4600.0,248.0,360.0,10.2,380.0,1100.0,3.1161477296273876
500.0,1500.0,108.0,340.0,10.2,380.0,675.0,3.578463363956881
1020.0,5000.0,53.0,380.0,4.7,380.0,900.0,3.49376501451518
520.0,1000.0,43.0,240.0,9.7,380.0,1125.0,3.127416277537316
1040.0,3200.0,93.0,380.0,4.7,380.0,550.0,3.6211606714148274
1010.0,4400.0,258.0,320.0,8.7,380.0,900.0,2.980635908091529
900.0,4200.0,308.0,320.0,8.2,380.0,875.0,3.261406342510974
810.0,3900.0,423.0,380.0,5.2,380.0,500.0,3.6502558702516086
710.0,4700.0,38.0,380.0,5.2,380.0,1275.0,3.7969165173412325
940.0,4500.0,253.0,380.0,5.7,380.0,850.0,3.46896233704331
710.0,4000.0,133.0,340.0,8.7,380.0,950.0,2.73948760005818
510.0,4200.0,48.0,380.0,5.2,380.0,1200.0,3.245905885714027
960.0,4700.0,278.0,380.0,6.2,380.0,900.0,3.9185010207102726
560.0,1000.0,133.0,380.0,5.2,380.0,1400.0,3.9385078002400875
200.0,1300.0,48.0,380.0,6.7,380.0,550.0,3.422108956481355
400.0,1400.0,153.0,360.0,9.2,380.0,975.0,2.7971111572600114
410.0,2700.0,23.0,360.0,9.7,380.0,1275.0,3.4409091587000535
410.0,1300.0,43.0,320.0,9.7,380.0,575.0,3.5197012879355905
680.0,3000.0,38.0,360.0,9.7,380.0,1350.0,3.5849569209437337
950.0,3900.0,68.0,380.0,4.7,380.0,475.0,3.0977096534024176
460.0,1000.0,38.0,280.0,7.7,380.0,675.0,2.6897191617702902
920.0,3800.0,58.0,340.0,8.2,380.0,1275.0,3.4752885815555614
660.0,2500.0,93.0,300.0,8.2,380.0,1425.0,3.616263140164399
880.0,3700.0,53.0,320.0,9.2,380.0,1450.0,3.0410543762119895
480.0,1100.0,223.0,320.0,10.2,380.0,925.0,2.7126660203382396
1040.0,4400.0,348.0,340.0,9.2,380.0,925.0,3.386276371589607
770.0,4800.0,183.0,380.0,6.7,380.0,500.0,3.6657600725802144
660.0,2700.0,13.0,340.0,9.7,380.0,950.0,3.1314172945604035
880.0,4700.0,73.0,380.0,7.7,380.0,1000.0,3.5346404546578323
1010.0,4600.0,378.0,380.0,5.7,380.0,1150.0,3.5071854847544452
960.0,4400.0,328.0,380.0,4.7,380.0,475.0,3.4173497756587565
410.0,1400.0,53.0,320.0,8.7,380.0,1300.0,2.929332319295817
810.0,4000.0,153.0,340.0,10.2,380.0,1000.0,3.372847617518571
720.0,1100.0,13.0,360.0,9.7,380.0,1225.0,3.3505582475457016
600.0,1100.0,133.0,320.0,8.7,380.0,775.0,3.1307954674661147
880.0,4100.0,28.0,320.0,5.7,380.0,825.0,3.389208074625481
700.0,5100.0,233.0,380.0,5.7,380.0,825.0,3.5905059535131105
200.0,1200.0,63.0,380.0,6.2,380.0,625.0,3.3989632158722243
380.0,1000.0,28.0,320.0,9.2,380.0,625.0,3.1230728291943715
450.0,5400.0,48.0,380.0,6.7,380.0,725.0,3.4136534893754247
900.0,4800.0,428.0,380.0,5.2,380.0,975.0,3.6675181492485858
460.0,3700.0,128.0,380.0,7.7,380.0,1325.0,2.8619997299305546
400.0,1200.0,268.0,320.0,8.7,380.0,675.0,3.242820213497331
910.0,5300.0,238.0,360.0,7.7,380.0,675.0,2.9434251856392093
540.0,3500.0,28.0,380.0,9.2,380.0,950.0,3.1875170529124897
860.0,900.0,173.0,320.0,8.2,380.0,1400.0,3.8172956767799473
620.0,3900.0,88.0,320.0,7.7,380.0,1300.0,3.1995807083903194
650.0,3800.0,118.0,300.0,8.2,380.0,1450.0,2.872139689846127
440.0,3700.0,53.0,320.0,8.7,380.0,1175.0,2.957688211010299
840.0,1000.0,168.0,380.0,5.2,380.0,1225.0,3.4104437053417467
920.0,4300.0,168.0,320.0,9.7,380.0,1200.0,3.090096924106034
500.0,1400.0,133.0,380.0,8.2,380.0,625.0,3.373243274144907
640.0,3400.0,168.0,340.0,8.7,380.0,1200.0,3.5265131792337154
870.0,4500.0,388.0,340.0,8.2,380.0,1025.0,3.085521711519762
910.0,3600.0,168.0,360.0,10.2,380.0,975.0,3.156020875041732
580.0,2900.0,113.0,380.0,4.7,380.0,1450.0,3.4608626604433557
780.0,5300.0,283.0,380.0,4.7,380.0,600.0,3.3108841323959197
930.0,1100.0,113.0,320.0,9.7,380.0,925.0,2.9831988803333394
650.0,5200.0,78.0,380.0,5.7,380.0,1400.0,2.98855492175831
620.0,900.0,103.0,300.0,8.7,380.0,750.0,3.603046485721798
630.0,4300.0,78.0,380.0,7.7,380.0,575.0,3.6723774597900234
740.0,2800.0,53.0,340.0,10.2,380.0,1350.0,3.618346119312088
470.0,1900.0,53.0,380.0,8.7,380.0,1175.0,3.6475519155139775
920.0,1200.0,98.0,320.0,10.2,380.0,725.0,3.3872677278346863
790.0,5300.0,273.0,380.0,5.2,380.0,1000.0,3.4486481583988295
740.0,4700.0,108.0,360.0,8.7,380.0,1375.0,3.3198342750795202
600.0,3600.0,168.0,360.0,8.2,380.0,1175.0,3.1581266315866054
940.0,3800.0,338.0,340.0,7.7,380.0,975.0,2.8790705107801164
400.0,2000.0,58.0,380.0,8.2,380.0,700.0,3.7805865394891667
660.0,1400.0,143.0,360.0,9.2,380.0,800.0,3.004218393922561
380.0,4100.0,408.0,380.0,5.7,380.0,750.0,3.099588219751558
890.0,5100.0,13.0,380.0,4.7,380.0,1125.0,3.9422759092107484
920.0,5300.0,23.0,380.0,9.7,380.0,1075.0,3.783363863592702
620.0,4400.0,113.0,380.0,5.7,380.0,1075.0,3.336887696687579
800.0,5200.0,103.0,380.0,5.2,380.0,625.0,3.8822968970851113
900.0,4000.0,218.0,340.0,9.2,380.0,1050.0,3.522950228058545
820.0,1200.0,188.0,320.0,9.7,380.0,650.0,2.9698224870165593
370.0,4800.0,113.0,380.0,7.7,380.0,1025.0,3.7055184129532717
910.0,3900.0,198.0,320.0,9.2,380.0,1025.0,2.873014454675123
640.0,900.0,53.0,320.0,8.7,380.0,1200.0,3.402225386231421
640.0,1100.0,253.0,320.0,6.7,380.0,525.0,3.7239272785864825
300.0,3200.0,218.0,380.0,7.7,380.0,1475.0,3.560543124749251
560.0,4600.0,93.0,380.0,6.7,380.0,1250.0,3.5893072902614525
1010.0,1300.0,238.0,320.0,9.2,380.0,550.0,3.363741713060123
880.0,1200.0,103.0,280.0,9.7,380.0,775.0,3.0827068760198624
670.0,4400.0,283.0,380.0,6.2,380.0,825.0,2.947043394165202
870.0,5300.0,283.0,380.0,5.2,380.0,1025.0,3.0362422925633563
590.0,4600.0,93.0,380.0,7.7,380.0,675.0,2.938403167361389
910.0,1000.0,48.0,300.0,9.2,380.0,1275.0,3.8287704490574845
920.0,4500.0,33.0,360.0,10.2,380.0,1275.0,3.6683461179343486
930.0,900.0,363.0,320.0,5.2,380.0,1325.0,4.033123732291018
900.0,4700.0,278.0,380.0,4.7,380.0,850.0,3.013606598625113
1000.0,4600.0,428.0,340.0,8.2,380.0,600.0,3.6742351686703802
920.0,3800.0,53.0,360.0,9.7,380.0,1000.0,3.5771990716978093
890.0,3200.0,128.0,340.0,8.2,380.0,1150.0,3.0347480913911373
490.0,5000.0,38.0,380.0,6.2,380.0,1275.0,3.364349863671827
860.0,1200.0,198.0,320.0,10.2,380.0,550.0,2.8585931631752817
760.0,1100.0,208.0,320.0,9.7,380.0,650.0,3.0099094938689523
900.0,5000.0,88.0,360.0,10.2,380.0,500.0,3.541033349860669
510.0,1100.0,123.0,380.0,6.7,380.0,1450.0,3.3069029277064566
570.0,3200.0,28.0,380.0,8.2,380.0,1250.0,3.4193461881534306
450.0,1000.0,68.0,300.0,9.2,380.0,1450.0,2.9277861888822394
720.0,3200.0,13.0,300.0,8.2,380.0,1475.0,3.4193046422476208
560.0,3400.0,88.0,380.0,7.7,380.0,1325.0,3.041072333196545
970.0,800.0,373.0,280.0,9.7,380.0,525.0,3.39694540328475
1030.0,4100.0,253.0,380.0,5.7,380.0,475.0,3.1900491836339273
390.0,3400.0,58.0,360.0,8.2,380.0,1150.0,3.0256516247372995
560.0,5000.0,228.0,380.0,5.2,380.0,725.0,3.8590258610828125
850.0,4900.0,53.0,360.0,10.2,380.0,1150.0,3.1003741436496215
880.0,4200.0,48.0,340.0,8.2,380.0,1475.0,3.4583422551216736
570.0,4800.0,148.0,380.0,6.7,380.0,675.0,2.911341612371376
780.0,4200.0,268.0,360.0,8.7,380.0,1175.0,3.1038147163832996
520.0,3700.0,63.0,380.0,8.2,380.0,1475.0,3.269600174578326
630.0,600.0,208.0,280.0,10.2,380.0,550.0,2.9685287986263065
670.0,2900.0,53.0,340.0,10.2,380.0,1250.0,3.718015875851699
980.0,4000.0,93.0,320.0,8.2,380.0,1050.0,3.3910395174112447
370.0,2500.0,158.0,380.0,7.7,380.0,1475.0,3.2334200738278778
850.0,3600.0,73.0,320.0,8.2,380.0,1025.0,3.6312885098296532
600.0,5100.0,93.0,360.0,8.2,380.0,1475.0,3.0793458619217247
760.0,4900.0,258.0,380.0,7.7,380.0,1250.0,3.360194228720962
1030.0,4900.0,128.0,340.0,8.2,380.0,1050.0,2.901837520379999
380.0,1300.0,43.0,380.0,5.2,380.0,1475.0,4.277908068520858
1000.0,1100.0,228.0,300.0,10.2,380.0,1300.0,3.5104023333253105
990.0,4100.0,368.0,320.0,9.7,380.0,1050.0,2.841487550058412
460.0,1200.0,223.0,340.0,10.2,380.0,475.0,3.05157917129047
420.0,2300.0,48.0,360.0,9.2,380.0,875.0,3.245109775153134
890.0,4800.0,143.0,380.0,5.2,380.0,950.0,3.0197576938832524
740.0,4200.0,383.0,380.0,5.2,380.0,850.0,3.842405190709543
860.0,900.0,243.0,300.0,10.2,380.0,650.0,3.6769631834548244
540.0,1200.0,13.0,280.0,9.2,380.0,1175.0,2.872501610665889
940.0,5100.0,108.0,380.0,7.7,380.0,1050.0,3.731424749818079
720.0,1400.0,118.0,300.0,9.7,380.0,950.0,3.180167681283379
490.0,1600.0,203.0,320.0,8.2,380.0,800.0,3.3973211537924066
490.0,1500.0,138.0,300.0,6.7,380.0,475.0,3.4052887294709557
980.0,5200.0,368.0,360.0,7.7,380.0,1225.0,3.0144396866109346
470.0,4800.0,43.0,380.0,9.7,380.0,900.0,3.1072634263256504
390.0,2200.0,143.0,380.0,5.2,380.0,500.0,3.3932509643889492
870.0,4600.0,233.0,380.0,6.7,380.0,900.0,3.7069684917671815
930.0,5000.0,253.0,320.0,8.7,380.0,900.0,3.397239768334341
960.0,5300.0,38.0,380.0,6.2,380.0,1475.0,3.392399064356062
670.0,5000.0,163.0,380.0,5.7,380.0,1075.0,3.8036956683754064
580.0,1400.0,153.0,320.0,10.2,380.0,800.0,3.102418777520286
700.0,5100.0,48.0,360.0,8.2,380.0,1225.0,2.8170912827081187
470.0,900.0,48.0,340.0,9.2,380.0,975.0,3.017830638704356
970.0,4400.0,258.0,360.0,10.2,380.0,1000.0,3.7317690745270453
1000.0,3600.0,123.0,380.0,5.2,380.0,650.0,3.245302568142744
660.0,1200.0,108.0,340.0,9.2,380.0,1000.0,3.140552042566636
930.0,900.0,53.0,380.0,4.7,380.0,1225.0,3.4242369408120403
970.0,5400.0,398.0,360.0,8.2,380.0,1150.0,3.2896257319194295
550.0,3300.0,68.0,340.0,7.7,380.0,1450.0,3.0947812206274516
1040.0,4800.0,303.0,300.0,8.2,380.0,1100.0,3.1806888610529382
1030.0,4600.0,353.0,380.0,6.2,380.0,775.0,3.459962335246505
780.0,3700.0,133.0,300.0,7.7,380.0,1200.0,3.691806006928943
1000.0,4500.0,433.0,360.0,9.7,380.0,1150.0,2.9384990919983256
630.0,4300.0,173.0,380.0,5.2,380.0,1475.0,3.888991559495685
990.0,4600.0,28.0,380.0,6.2,380.0,1200.0,3.4992090702663305
790.0,3900.0,208.0,360.0,9.7,380.0,1125.0,3.0318147234376402
570.0,4200.0,148.0,380.0,5.2,380.0,1225.0,3.472540826126376
1040.0,4700.0,63.0,380.0,4.7,380.0,1200.0,3.0163113167616724
960.0,1000.0,188.0,300.0,8.2,380.0,625.0,3.7462281918706273
610.0,5100.0,28.0,360.0,10.2,380.0,1250.0,2.7544569096909983
660.0,3600.0,253.0,360.0,8.2,380.0,1025.0,3.136594413081326
320.0,3800.0,143.0,380.0,6.2,380.0,500.0,3.489524275499129
510.0,3900.0,128.0,360.0,7.7,380.0,1350.0,3.6933803687851823
900.0,4400.0,183.0,340.0,9.2,380.0,1075.0,2.805367973998922
870.0,4300.0,113.0,340.0,8.2,380.0,1350.0,3.347906864238676
760.0,4600.0,73.0,380.0,5.7,380.0,775.0,3.029969242726796
940.0,1500.0,133.0,320.0,10.2,380.0,775.0,3.030520301639191
780.0,3600.0,173.0,360.0,7.7,380.0,1150.0,2.9636596459875215
210.0,2200.0,33.0,380.0,8.7,380.0,1250.0,2.9001686135841602
760.0,1000.0,93.0,300.0,10.2,380.0,750.0,2.9577572767738887
450.0,1100.0,233.0,280.0,9.2,380.0,950.0,3.2623825121942236
970.0,5200.0,33.0,380.0,6.2,380.0,1225.0,3.43088927398101
880.0,5200.0,148.0,380.0,5.2,380.0,650.0,3.147741017465584
690.0,4900.0,183.0,380.0,6.7,380.0,850.0,3.4306795429360286
700.0,2800.0,58.0,340.0,8.7,380.0,1000.0,3.0862542835774267
430.0,1500.0,98.0,280.0,9.7,380.0,1050.0,2.7487594145852685
320.0,5400.0,53.0,360.0,8.7,380.0,1300.0,2.9027794616239624
660.0,1500.0,93.0,360.0,10.2,380.0,925.0,3.590998331845201
840.0,600.0,88.0,380.0,4.7,380.0,1300.0,3.8729551709661827
420.0,3600.0,33.0,380.0,10.2,380.0,800.0,3.332398062814444
860.0,4500.0,83.0,320.0,7.7,380.0,1450.0,2.939043185075692
880.0,4500.0,308.0,380.0,6.7,380.0,775.0,3.4641806900270544
610.0,1100.0,183.0,320.0,8.2,380.0,475.0,3.6283093882864046
930.0,900.0,28.0,300.0,10.2,380.0,1325.0,2.98438811117699
500.0,1000.0,168.0,280.0,8.7,380.0,550.0,3.539887388768455
630.0,1200.0,108.0,280.0,8.7,380.0,925.0,2.8353659070584225
480.0,1100.0,158.0,320.0,10.2,380.0,750.0,3.0407157547189962
650.0,4400.0,193.0,380.0,4.7,380.0,550.0,3.700847835510867
980.0,4600.0,293.0,360.0,9.2,380.0,600.0,3.207980806771543
550.0,4500.0,28.0,380.0,4.7,380.0,750.0,3.3651715464457537
490.0,1200.0,13.0,380.0,4.7,380.0,500.0,3.908792702225629
890.0,1100.0,63.0,320.0,7.7,380.0,950.0,3.818093272983023
1020.0,4000.0,388.0,340.0,10.2,380.0,1175.0,3.425844226125621
850.0,5000.0,243.0,380.0,5.7,380.0,800.0,2.97335312523736
900.0,4300.0,28.0,320.0,9.2,380.0,975.0,3.344453288448712
740.0,4500.0,408.0,380.0,5.2,380.0,875.0,3.2213835622616984
810.0,3700.0,68.0,360.0,8.2,380.0,1425.0,3.053307102449556
720.0,5100.0,88.0,380.0,5.2,380.0,1325.0,3.9756302165843236
550.0,5300.0,133.0,380.0,5.7,380.0,1075.0,3.6375431155421643
280.0,3300.0,93.0,360.0,8.2,380.0,1425.0,3.6303205727631327
740.0,3900.0,233.0,340.0,7.7,380.0,1200.0,3.6148824778026745
410.0,4800.0,68.0,380.0,6.7,380.0,550.0,3.1484028565954514
280.0,900.0,153.0,300.0,8.7,380.0,900.0,2.833202180983387
710.0,4900.0,238.0,380.0,6.7,380.0,1325.0,3.5051544019679985
540.0,1200.0,68.0,340.0,9.2,380.0,625.0,2.7697322227543673
920.0,3300.0,113.0,380.0,5.2,380.0,900.0,3.62539176743863
410.0,1300.0,138.0,380.0,10.2,380.0,600.0,3.730265503804099
440.0,2200.0,163.0,360.0,8.7,380.0,800.0,2.7168035906828227
920.0,4400.0,238.0,340.0,7.7,380.0,1325.0,3.1676689707565022
450.0,3200.0,38.0,380.0,8.2,380.0,500.0,2.9333368782001017
260.0,1300.0,163.0,380.0,6.2,380.0,1175.0,3.8799632519890155
880.0,700.0,98.0,320.0,9.7,380.0,975.0,3.4176848848383052
590.0,3800.0,153.0,340.0,8.2,380.0,1425.0,3.345646601380338
660.0,5300.0,78.0,380.0,5.7,380.0,550.0,2.8744277027244594
790.0,4100.0,183.0,380.0,7.7,380.0,1100.0,3.047289456410144
670.0,2400.0,43.0,380.0,6.7,380.0,1175.0,3.886071309712026
720.0,3100.0,133.0,380.0,8.2,380.0,500.0,3.2148641940834555
500.0,1000.0,158.0,300.0,8.7,380.0,1000.0,3.6447814619759944
850.0,4500.0,53.0,320.0,10.2,380.0,1300.0,3.6306321864999873
640.0,4800.0,33.0,320.0,7.7,380.0,1125.0,3.1481520791567545
1000.0,4500.0,113.0,340.0,8.7,380.0,1025.0,3.1099750630727696
810.0,4800.0,118.0,340.0,7.7,380.0,1175.0,3.398425054439411
330.0,1800.0,188.0,380.0,8.2,380.0,800.0,3.7622304183351893
530.0,1800.0,43.0,340.0,8.7,380.0,950.0,3.1448478546385377
970.0,4900.0,63.0,340.0,8.7,380.0,1325.0,3.6157979672548692
210.0,2400.0,138.0,380.0,6.2,380.0,475.0,3.2281082914769392
860.0,3000.0,308.0,380.0,4.7,380.0,475.0,3.650832405754098
200.0,2300.0,113.0,380.0,8.2,380.0,675.0,3.3388055504385203
540.0,1200.0,33.0,380.0,5.2,380.0,1375.0,4.148614727076715
920.0,4900.0,223.0,380.0,6.7,380.0,1000.0,3.2742553708360274
820.0,4900.0,53.0,340.0,8.7,380.0,1075.0,2.791216217139983
890.0,5300.0,228.0,360.0,8.7,380.0,1050.0,3.429641549268863
730.0,4300.0,53.0,340.0,10.2,380.0,1375.0,3.5465589394597385
820.0,4000.0,433.0,380.0,5.7,380.0,600.0,3.1070614910317653
820.0,4700.0,48.0,380.0,6.7,380.0,650.0,3.8968349331230874
920.0,4100.0,103.0,340.0,10.2,380.0,625.0,3.2309793817066685
210.0,1700.0,18.0,380.0,7.2,380.0,550.0,3.1806158869687033
670.0,3100.0,58.0,340.0,7.7,380.0,1150.0,3.5374277887343846
820.0,1600.0,118.0,300.0,10.2,380.0,500.0,3.2790804547949475
730.0,3100.0,173.0,320.0,9.2,380.0,1100.0,3.5485436320645825
740.0,3300.0,83.0,380.0,5.2,380.0,550.0,3.6295332033403014
800.0,3600.0,33.0,380.0,7.7,380.0,575.0,3.2700721859648585
770.0,3800.0,38.0,320.0,10.2,380.0,1250.0,3.080132190906146
840.0,1000.0,108.0,300.0,10.2,380.0,1425.0,3.8192591003857586
400.0,3500.0,13.0,340.0,9.2,380.0,1075.0,3.117057840926778
570.0,3600.0,183.0,380.0,5.7,380.0,650.0,3.3281104112614757
880.0,4400.0,138.0,380.0,5.7,380.0,775.0,3.0055557864590563
640.0,1800.0,78.0,360.0,7.7,380.0,675.0,3.6413569886789108
1010.0,4400.0,238.0,380.0,5.2,380.0,1050.0,3.5168043967581135
730.0,3300.0,48.0,340.0,9.2,380.0,975.0,2.9946635443203866
